Number,Name,Year,Theme,Pieces,Minifigs,US Retail Price,US Start Date
70618,Destiny's Bounty,2017,The LEGO Ninjago Movie,2295,7,159.99,2017-08-01
70620,NINJAGO City,2017,The LEGO Ninjago Movie,4867,19,299.99,2017-09-01
21310,Old Fishing Store,2017,Ideas,2049,4,149.99,2017-09-02
60155,City Advent Calendar,2017,City,248,6,29.99,2017-09-02
75184,Star Wars Advent Calendar,2017,Star Wars,309,8,39.99,2017-09-02
71349,Beetlejuice,2017,Dimensions,56,1,14.99,2017-09-13
41487,Lloyd,2017,BrickHeadz,102,,9.99,2017-09-24
41488,Master Wu,2017,BrickHeadz,89,,9.99,2017-09-24
21312,Women of NASA,2017,Ideas,231,4,24.99,2017-11-01
41485,Finn,2017,BrickHeadz,91,,9.99,2017-11-01
41486,Captain Phasma,2017,BrickHeadz,127,,9.99,2017-11-01
70922,The Joker Manor,2017,The LEGO Batman Movie,3444,10,269.99,2017-11-25
75192,Millennium Falcon,2017,Star Wars,7541,8,799.99,2018-01-10
30449,The Milano,2017,Marvel Super Heroes,64,,,
30524,The Mini Batwing,2017,The LEGO Batman Movie,80,,,
30607,Disco Batman - Tears of Batman,2017,The LEGO Batman Movie,13,2,,
30609,Lloyd,2017,The LEGO Ninjago Movie,6,1,,
30611,R2-D2,2017,Star Wars,70,,,
40176,Scarif Stormtrooper,2017,Star Wars,25,1,,
40178,Exclusive VIP Set,2017,Promotional,205,2,,
40251,Mini Piggy Bank,2017,Creator,248,,,
40253,Christmas Build-Up,2017,Seasonal,254,,,
40268,R3-M2,2017,Star Wars,21,1,,
40308,Lester,2017,Promotional,5,1,,
5004930,Accessory pack,2017,The LEGO Batman Movie,41,1,,
5004932,Travel Building Suitcase,2017,Miscellaneous,41,1,,
5004938,NINJAGO Minifigure Collection,2017,Ninjago,29,4,19.99,
5004939,The LEGO Batman Movie Minifigure Collection,2017,The LEGO Batman Movie,27,4,19.99,
5004941,Classic Minifigure Collection,2017,Miscellaneous,18,4,19.99,
5005326,Canvas Tote Bag,2017,Gear,,,,
71017,LEGO Minifigures - The LEGO Batman Movie Series - Complete,2017,Collectable Minifigures,125,20,,
71019,LEGO Minifigures - The LEGO NINJAGO Movie Series - Random bag,2017,Collectable Minifigures,,,,
10260,Downtown Diner,2018,Advanced Models,2480,6,169.99,2018-01-01
40270,Valentine's Bee,2018,BrickHeadz,140,,9.99,2018-01-01
41598,The Flash,2018,BrickHeadz,122,,9.99,2018-01-01
41599,Wonder Woman,2018,BrickHeadz,143,,9.99,2018-01-01
41600,Aquaman,2018,BrickHeadz,135,,9.99,2018-01-01
41601,Cyborg,2018,BrickHeadz,108,,9.99,2018-01-01
41602,Rey,2018,BrickHeadz,119,,9.99,2018-01-01
41603,Kylo Ren,2018,BrickHeadz,130,,9.99,2018-01-01
42078,Mack Anthem,2018,Technic,2595,,179.99,2018-01-01
70919,The Justice League Anniversary Party,2018,The LEGO Batman Movie,267,4,29.99,2018-01-01
70920,Egghead Mech Food Fight,2018,The LEGO Batman Movie,293,3,29.99,2018-01-01
75205,Mos Eisley Cantina,2018,Star Wars,378,4,39.99,2018-01-01
75533,Boba Fett,2018,Star Wars,144,,29.99,2018-01-01
21313,Ship in a Bottle,2018,Ideas,962,,69.99,2018-02-02
40271,Easter Bunny,2018,BrickHeadz,126,,9.99,2018-02-02
75884,1968 Ford Mustang Fastback,2018,Speed Champions,183,1,14.99,2018-03-02
75888,Porsche 911 RSR and 911 Turbo 3.0,2018,Speed Champions,391,3,29.99,2018-03-02
76105,The Hulkbuster: Ultron Edition,2018,Marvel Super Heroes,1363,1,119.99,2018-03-04
21314,TRON: Legacy,2018,Ideas,230,3,34.99,2018-04-01
41597,Go Brick Me,2018,BrickHeadz,708,,29.99,2018-04-02
41604,Iron Man MK50,2018,BrickHeadz,101,,9.99,2018-04-02
41605,Thanos,2018,BrickHeadz,105,,9.99,2018-04-02
41606,Star-Lord,2018,BrickHeadz,113,,9.99,2018-04-02
41607,Gamora,2018,BrickHeadz,136,,9.99,2018-04-02
41608,Han Solo,2018,BrickHeadz,141,,9.99,2018-04-02
41609,Chewbacca,2018,BrickHeadz,149,,9.99,2018-04-02
41614,Owen & Blue,2018,BrickHeadz,234,,19.99,2018-04-17
75932,Jurassic Park Velociraptor Chase,2018,Jurassic World,360,4,39.99,2018-04-17
41611,Marty McFly & Doc Brown,2018,BrickHeadz,240,,19.99,2018-04-18
41613,Mr. Incredible & Frozone,2018,BrickHeadz,160,,19.99,2018-04-21
41610,Tactical Batman & Superman,2018,BrickHeadz,209,,19.99,2018-05-02
75181,Y-wing Starfighter,2018,Star Wars,1967,2,199.99,2018-05-05
41615,Harry Potter & Hedwig,2018,BrickHeadz,180,,14.99,2018-07-02
41619,Darth Vader,2018,BrickHeadz,104,,9.99,2018-07-11
41620,Stormtrooper,2018,BrickHeadz,124,,9.99,2018-07-11
42082,Rough Terrain Crane,2018,Technic,4057,,299.99,2018-08-01
60201,City Advent Calendar,2018,City,313,6,29.99,2018-09-02
40197,Wedding Favor Set 2018,2018,Miscellaneous,132,2,9.99,
40290,60 Years of the LEGO Brick,2018,Promotional,421,,,
40291,Creative Personalities,2018,Promotional,307,2,,
5005230,Zane's Kendo Training Pod,2018,Ninjago,25,1,,
5005233,Hamleys Royal Guard,2018,Promotional,5,1,,
5005249,Easter Bunny Hut,2018,Seasonal,6,1,,
5005358,Minifigure Factory,2018,Promotional,86,1,,
5005376,Star Wars Anniversary Pod,2018,Star Wars,37,1,,
